interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00
2,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00
3,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00
4,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00
5,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00
6,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00
7,2100.00,2100.00,2100.00,2100.00,2100.00,2100.00,2100.00,2100.00,2100.00,2100.00,2100.00,2100.00,2100.00,2100.00,2100.00,2100.00
8,2400.00,2400.00,2400.00,2400.00,2400.00,2400.00,2400.00,2400.00,2400.00,2400.00,2400.00,2400.00,2400.00,2400.00,2400.00,2400.00
9,2700.00,2700.00,2700.00,2700.00,2700.00,2700.00,2700.00,2700.00,2700.00,2700.00,2700.00,2700.00,2700.00,2700.00,2700.00,2700.00
10,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00
11,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00,3300.00
12,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00
13,3900.00,3900.00,3900.00,3900.00,3900.00,3900.00,3900.00,3900.00,3900.00,3900.00,3900.00,3900.00,3900.00,3900.00,3900.00,3900.00
14,4200.00,4200.00,4200.00,4200.00,4200.00,4200.00,4200.00,4200.00,4200.00,4200.00,4200.00,4200.00,4200.00,4200.00,4200.00,4200.00
15,4500.00,4500.00,4500.00,4500.00,4500.00,4500.00,4500.00,4500.00,4500.00,4500.00,4500.00,4500.00,4500.00,4500.00,4500.00,4500.00
16,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00
17,5100.00,5100.00,5100.00,5100.00,5100.00,5100.00,5100.00,5100.00,5100.00,5100.00,5100.00,5100.00,5100.00,5100.00,5100.00,5100.00
18,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00
19,5700.00,5700.00,5700.00,5700.00,5700.00,5700.00,5700.00,5700.00,5700.00,5700.00,5700.00,5700.00,5700.00,5700.00,5700.00,5700.00
20,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
21,6300.00,6300.00,6300.00,6300.00,6300.00,6300.00,6300.00,6300.00,6300.00,6300.00,6300.00,6300.00,6300.00,6300.00,6300.00,6300.00
22,6600.00,6600.00,6600.00,6600.00,6600.00,6600.00,6600.00,6600.00,6600.00,6600.00,6600.00,6600.00,6600.00,6600.00,6600.00,6600.00
23,6900.00,6900.00,6900.00,6900.00,6900.00,6900.00,6900.00,6900.00,6900.00,6900.00,6900.00,6900.00,6900.00,6900.00,6900.00,6900.00
24,7200.00,7200.00,7200.00,7200.00,7200.00,7200.00,7200.00,7200.00,7200.00,7200.00,7200.00,7200.00,7200.00,7200.00,7200.00,7200.00
25,7500.00,7500.00,7500.00,7500.00,7500.00,7500.00,7500.00,7500.00,7500.00,7500.00,7500.00,7500.00,7500.00,7500.00,7500.00,7500.00
