interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,272.00,0.00,0.00,40.00,48.00,75.00,0.00,0.00,67.00,312.00,0.00,0.00,171.00,260.00,304.00,116.00
1,278.00,0.00,2.00,66.00,257.00,233.00,0.00,0.00,93.00,226.00,0.00,0.00,431.00,363.00,766.00,416.00
2,430.00,0.00,0.00,16.00,465.00,350.00,0.00,0.00,105.00,164.00,0.00,0.00,395.00,224.00,287.00,466.00
3,486.00,0.00,26.00,33.00,303.00,114.00,0.00,0.00,14.00,271.00,0.00,0.00,647.00,218.00,467.00,405.00
4,384.00,0.00,29.00,46.00,137.00,304.00,0.00,0.00,99.00,394.00,0.00,0.00,623.00,508.00,487.00,197.00
5,549.00,0.00,0.00,89.00,319.00,136.00,0.00,0.00,61.00,402.00,0.00,0.00,515.00,257.00,653.00,321.00
6,133.00,0.00,57.00,143.00,361.00,465.00,0.00,0.00,84.00,107.00,19.00,0.00,613.00,305.00,367.00,242.00
7,369.00,0.00,0.00,50.00,413.00,403.00,0.00,0.00,45.00,295.00,0.00,0.00,655.00,426.00,184.00,229.00
8,321.00,0.00,21.00,2.00,160.00,204.00,0.00,0.00,61.00,253.00,0.00,0.00,536.00,543.00,334.00,255.00
9,280.00,0.00,0.00,179.00,192.00,26.00,0.00,0.00,50.00,248.00,24.00,0.00,558.00,626.00,668.00,464.00
10,417.00,0.00,0.00,7.00,183.00,279.00,0.00,0.00,173.00,367.00,21.00,0.00,511.00,305.00,767.00,572.00
11,140.00,0.00,12.00,38.00,226.00,323.00,0.00,0.00,220.00,279.00,0.00,0.00,514.00,516.00,416.00,562.00
12,195.00,0.00,0.00,13.00,396.00,319.00,0.00,0.00,39.00,168.00,0.00,0.00,518.00,350.00,241.00,301.00
13,269.00,0.00,0.00,48.00,236.00,256.00,0.00,0.00,89.00,449.00,0.00,0.00,823.00,606.00,369.00,211.00
14,223.00,0.00,62.00,0.00,293.00,342.00,0.00,0.00,131.00,343.00,0.00,0.00,829.00,824.00,460.00,415.00
15,213.00,0.00,45.00,27.00,337.00,433.00,0.00,0.00,66.00,162.00,0.00,0.00,454.00,459.00,587.00,541.00
16,264.00,0.00,107.00,50.00,497.00,551.00,0.00,0.00,58.00,60.00,63.00,0.00,408.00,406.00,418.00,617.00
17,148.00,0.00,83.00,0.00,484.00,575.00,0.00,0.00,71.00,281.00,0.00,0.00,570.00,716.00,129.00,462.00
18,85.00,0.00,49.00,131.00,187.00,166.00,0.00,0.00,91.00,286.00,0.00,0.00,613.00,621.00,482.00,412.00
19,366.00,0.00,0.00,154.00,100.00,193.00,0.00,0.00,45.00,426.00,0.00,0.00,638.00,620.00,474.00,284.00
20,424.00,0.00,0.00,159.00,128.00,282.00,0.00,0.00,4.00,541.00,0.00,0.00,464.00,261.00,479.00,287.00
21,305.00,0.00,6.00,25.00,181.00,392.00,0.00,0.00,129.00,9.00,31.00,0.00,413.00,406.00,383.00,529.00
22,145.00,0.00,46.00,4.00,346.00,401.00,0.00,0.00,4.00,58.00,59.00,0.00,567.00,560.00,238.00,259.00
23,253.00,0.00,27.00,0.00,75.00,278.00,0.00,0.00,82.00,291.00,0.00,0.00,611.00,406.00,363.00,531.00
24,420.00,0.00,12.00,90.00,298.00,332.00,0.00,0.00,38.00,418.00,0.00,0.00,817.00,417.00,461.00,512.00
25,291.00,0.00,0.00,0.00,0.00,46.00,0.00,0.00,31.00,254.00,0.00,0.00,9.00,4.00,263.00,134.00
