interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,272.00,0.00,0.00,40.00,48.00,75.00,0.00,0.00,67.00,312.00,0.00,0.00,171.00,260.00,304.00,116.00
1,278.00,0.00,2.00,26.00,257.00,231.00,0.00,0.00,93.00,226.00,0.00,0.00,355.00,363.00,462.00,313.00
2,414.00,0.00,0.00,16.00,225.00,200.00,0.00,0.00,105.00,164.00,0.00,0.00,348.00,139.00,287.00,466.00
3,378.00,0.00,26.00,33.00,303.00,114.00,0.00,0.00,14.00,252.00,0.00,0.00,508.00,184.00,446.00,366.00
4,303.00,0.00,29.00,46.00,137.00,304.00,0.00,0.00,99.00,248.00,0.00,0.00,226.00,379.00,399.00,197.00
5,302.00,0.00,0.00,74.00,319.00,136.00,0.00,0.00,60.00,266.00,0.00,0.00,506.00,256.00,517.00,224.00
6,133.00,0.00,57.00,131.00,275.00,349.00,0.00,0.00,84.00,107.00,19.00,0.00,516.00,255.00,192.00,183.00
7,369.00,0.00,0.00,50.00,218.00,213.00,0.00,0.00,45.00,295.00,0.00,0.00,456.00,326.00,184.00,229.00
8,231.00,0.00,21.00,2.00,160.00,204.00,0.00,0.00,61.00,253.00,0.00,0.00,293.00,322.00,332.00,255.00
9,257.00,0.00,0.00,179.00,192.00,26.00,0.00,0.00,50.00,181.00,24.00,0.00,373.00,426.00,519.00,413.00
10,273.00,0.00,0.00,7.00,178.00,253.00,0.00,0.00,173.00,242.00,21.00,0.00,509.00,305.00,514.00,420.00
11,140.00,0.00,12.00,31.00,177.00,318.00,0.00,0.00,131.00,279.00,0.00,0.00,417.00,417.00,241.00,307.00
12,195.00,0.00,0.00,13.00,298.00,159.00,0.00,0.00,39.00,168.00,0.00,0.00,416.00,252.00,241.00,301.00
13,214.00,0.00,0.00,48.00,236.00,256.00,0.00,0.00,89.00,382.00,0.00,0.00,512.00,460.00,344.00,211.00
14,215.00,0.00,62.00,0.00,293.00,342.00,0.00,0.00,131.00,176.00,0.00,0.00,426.00,425.00,380.00,380.00
15,107.00,0.00,45.00,27.00,337.00,408.00,0.00,0.00,61.00,98.00,0.00,0.00,454.00,459.00,340.00,422.00
16,264.00,0.00,107.00,23.00,372.00,403.00,0.00,0.00,58.00,60.00,63.00,0.00,359.00,357.00,242.00,276.00
17,148.00,0.00,83.00,0.00,272.00,330.00,0.00,0.00,71.00,281.00,0.00,0.00,365.00,519.00,129.00,462.00
18,85.00,0.00,49.00,131.00,187.00,166.00,0.00,0.00,91.00,271.00,0.00,0.00,463.00,312.00,469.00,363.00
19,322.00,0.00,0.00,154.00,100.00,193.00,0.00,0.00,45.00,346.00,0.00,0.00,231.00,421.00,362.00,282.00
20,158.00,0.00,0.00,153.00,128.00,273.00,0.00,0.00,4.00,251.00,0.00,0.00,461.00,261.00,376.00,260.00
21,305.00,0.00,6.00,25.00,181.00,249.00,0.00,0.00,129.00,9.00,31.00,0.00,364.00,356.00,238.00,410.00
22,145.00,0.00,46.00,4.00,232.00,313.00,0.00,0.00,4.00,58.00,59.00,0.00,366.00,363.00,238.00,259.00
23,253.00,0.00,27.00,0.00,75.00,278.00,0.00,0.00,82.00,272.00,0.00,0.00,461.00,256.00,336.00,485.00
24,337.00,0.00,12.00,90.00,298.00,332.00,0.00,0.00,38.00,361.00,0.00,0.00,418.00,215.00,386.00,390.00
25,10.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,6.00,10.00,0.00,0.00,9.00,4.00,10.00,10.00
