interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1306.27,0.00,0.00,196.43,184.28,369.48,0.00,0.00,470.09,1538.17,0.00,0.00,1222.14,1066.52,1492.28,1055.86
1,1232.38,0.00,16.15,183.05,1305.48,1369.41,0.00,0.00,454.00,1109.34,0.00,0.00,1768.91,2117.95,2105.66,1705.40
2,2023.17,0.00,0.61,139.12,1624.96,1493.02,0.00,0.00,782.77,886.47,0.00,0.00,1696.25,1138.69,1329.92,2280.18
3,1866.27,0.00,37.07,147.47,1302.42,989.93,0.00,0.00,118.09,1726.95,0.00,0.00,2502.90,1508.14,2043.20,1830.00
4,1774.81,0.00,184.54,256.35,1042.25,1520.55,0.00,0.00,478.22,1909.64,0.00,0.00,1826.97,1658.90,1951.42,1406.62
5,1486.87,0.00,0.00,471.62,1640.65,732.88,0.00,0.00,299.36,1354.19,0.00,0.00,2519.06,2092.52,2542.45,1404.55
6,1244.96,0.00,501.12,676.41,1492.48,1622.89,0.00,0.00,404.06,1059.19,39.71,0.00,2456.06,2082.82,1933.68,960.98
7,1783.83,0.00,0.00,451.67,1541.14,1505.55,0.00,0.00,216.20,1450.93,0.00,0.00,2182.83,1824.01,1692.43,1033.75
8,1136.00,0.00,203.84,3.78,1297.16,877.99,0.00,0.00,267.13,1547.87,0.00,0.00,2103.36,2164.03,2470.40,1199.76
9,1917.25,0.00,0.00,857.03,816.86,143.81,0.00,0.00,356.66,1799.06,49.59,0.00,1678.39,1766.27,2475.41,2040.74
10,1359.30,0.00,0.00,52.17,1443.88,1263.77,0.00,0.00,868.37,1183.77,56.08,0.00,2416.92,2088.43,2344.46,2077.52
11,1313.95,0.00,39.81,272.88,1386.25,1587.76,0.00,0.00,606.43,1377.32,0.00,0.00,2316.28,2135.41,2320.88,1517.54
12,1489.27,0.00,0.00,62.18,1415.76,798.54,0.00,0.00,183.52,1318.57,0.00,0.00,2492.39,1942.77,2245.19,1449.63
13,1040.53,0.00,0.00,224.47,1014.43,1179.53,0.00,0.00,663.50,1857.74,0.00,0.00,2549.69,2092.99,2393.69,971.18
14,1538.09,0.00,147.55,0.00,1262.35,1700.62,0.00,0.00,599.81,1189.67,0.00,0.00,2100.96,1841.89,2282.25,2485.00
15,1038.28,0.00,360.66,239.07,1691.70,2022.02,0.00,0.00,297.18,969.68,0.00,0.00,2419.17,2433.60,2429.58,2501.20
16,1291.54,0.00,546.17,213.38,1723.12,2012.19,0.00,0.00,427.25,238.35,278.36,0.00,2327.53,2166.14,2155.49,2380.99
17,1463.27,0.00,403.60,0.00,1351.90,1637.61,0.00,0.00,513.51,1328.33,0.00,0.00,2327.92,2450.72,1119.63,2287.57
18,824.34,0.00,372.25,682.13,755.99,820.40,0.00,0.00,613.37,1703.74,0.00,0.00,2504.54,2194.13,2313.77,1808.62
19,1861.90,0.00,1.87,858.80,809.98,913.23,0.00,0.00,356.55,1992.20,0.00,0.00,1827.06,1852.93,2278.63,1341.92
20,1467.87,0.00,0.00,789.91,1029.68,1730.29,0.00,0.00,13.71,1220.11,0.00,0.00,2364.26,1973.10,2167.48,1836.38
21,1314.65,0.00,9.12,223.02,889.98,1462.82,0.00,0.00,796.56,79.13,286.97,0.00,2247.24,2077.72,2341.99,2135.01
22,621.76,0.00,379.63,13.06,1037.19,1652.60,0.00,0.00,13.89,256.88,414.21,0.00,2229.71,2148.30,2304.11,2275.27
23,1148.81,0.00,277.37,0.00,369.89,1211.13,0.00,0.00,376.52,1343.41,0.00,0.00,2381.78,2099.08,2491.53,2380.34
24,1699.96,0.00,151.81,447.29,1484.37,1672.38,0.00,0.00,167.69,1757.48,0.00,0.00,2069.98,1761.93,2569.35,1838.76
25,45.94,0.00,0.00,0.00,0.00,33.01,0.00,0.00,27.68,50.00,0.00,0.00,33.51,24.55,50.00,50.00
