interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,270,0,0,38,45,72,0,0,62,310,0,0,168,258,305,114
1,275,0,10,25,254,229,0,0,91,224,0,0,353,360,459,311
2,411,0,2,15,224,199,0,0,100,161,0,0,346,138,283,458
3,376,0,25,30,301,113,0,0,13,250,0,0,507,183,443,366
4,357,0,65,43,136,302,0,0,96,247,0,0,222,376,397,192
5,300,0,0,70,316,133,0,0,58,264,0,0,503,254,517,223
6,266,0,94,128,273,347,0,0,79,106,18,0,512,253,394,180
7,365,0,0,49,217,212,0,0,43,293,0,0,454,324,181,227
8,229,0,32,1,159,200,0,0,56,250,0,0,292,319,508,255
9,256,0,0,173,189,25,0,0,45,180,22,0,368,422,518,411
10,271,0,0,6,177,251,0,0,165,240,20,0,506,299,513,418
11,139,0,9,30,176,315,0,0,125,277,0,0,414,414,472,305
12,193,0,0,11,296,157,0,0,37,165,0,0,414,251,242,299
13,211,0,0,46,234,254,0,0,85,380,0,0,510,456,341,207
14,214,0,57,0,291,338,0,0,125,175,0,0,422,422,504,379
15,105,0,74,26,333,404,0,0,59,97,0,0,451,456,341,420
16,262,0,121,23,370,401,0,0,55,58,59,0,357,354,238,273
17,147,0,86,0,270,328,0,0,69,278,0,0,362,517,266,457
18,83,0,45,126,185,164,0,0,87,269,0,0,461,310,467,362
19,320,0,3,150,99,190,0,0,42,344,0,0,224,420,361,280
20,320,0,0,148,126,271,0,0,3,249,0,0,459,257,374,258
21,302,0,5,24,177,248,0,0,124,8,54,0,360,353,470,408
22,143,0,75,3,230,310,0,0,3,54,59,0,363,360,437,253
23,249,0,84,0,74,276,0,0,79,270,0,0,457,255,335,483
24,390,0,49,87,295,329,0,0,34,359,0,0,414,213,514,388
25,10,0,0,0,0,6,0,0,6,10,0,0,7,3,10,10
