interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,144.00,0.00,0.00,24.00,25.00,42.00,0.00,0.00,31.00,159.00,0.00,0.00,95.00,132.00,155.00,103.00
1,148.00,0.00,2.00,29.00,122.00,94.00,0.00,0.00,54.00,117.00,0.00,0.00,194.00,153.00,204.00,143.00
2,170.00,0.00,0.00,16.00,162.00,139.00,0.00,0.00,75.00,74.00,0.00,0.00,131.00,190.00,135.00,207.00
3,161.00,0.00,26.00,15.00,153.00,114.00,0.00,0.00,14.00,125.00,0.00,0.00,201.00,129.00,191.00,203.00
4,137.00,0.00,13.00,20.00,137.00,160.00,0.00,0.00,60.00,150.00,0.00,0.00,206.00,188.00,178.00,92.00
5,148.00,0.00,0.00,21.00,119.00,61.00,0.00,0.00,37.00,144.00,0.00,0.00,208.00,206.00,176.00,133.00
6,132.00,0.00,24.00,61.00,166.00,140.00,0.00,0.00,50.00,107.00,19.00,0.00,205.00,204.00,206.00,100.00
7,142.00,0.00,0.00,50.00,158.00,150.00,0.00,0.00,25.00,151.00,0.00,0.00,206.00,205.00,175.00,143.00
8,152.00,0.00,21.00,2.00,160.00,101.00,0.00,0.00,19.00,106.00,0.00,0.00,193.00,200.00,183.00,116.00
9,144.00,0.00,0.00,48.00,108.00,26.00,0.00,0.00,24.00,125.00,15.00,0.00,189.00,206.00,205.00,159.00
10,149.00,0.00,0.00,7.00,134.00,154.00,0.00,0.00,45.00,131.00,21.00,0.00,207.00,203.00,205.00,164.00
11,140.00,0.00,6.00,22.00,128.00,90.00,0.00,0.00,51.00,141.00,0.00,0.00,205.00,205.00,205.00,160.00
12,140.00,0.00,0.00,12.00,155.00,119.00,0.00,0.00,21.00,101.00,0.00,0.00,207.00,204.00,205.00,163.00
13,158.00,0.00,0.00,27.00,120.00,134.00,0.00,0.00,44.00,142.00,0.00,0.00,210.00,203.00,207.00,108.00
14,106.00,0.00,36.00,0.00,150.00,161.00,0.00,0.00,44.00,156.00,0.00,0.00,206.00,207.00,209.00,151.00
15,110.00,0.00,34.00,27.00,108.00,144.00,0.00,0.00,56.00,91.00,0.00,0.00,203.00,205.00,204.00,200.00
16,135.00,0.00,30.00,50.00,149.00,156.00,0.00,0.00,39.00,50.00,27.00,0.00,203.00,205.00,207.00,205.00
17,148.00,0.00,30.00,0.00,151.00,157.00,0.00,0.00,44.00,148.00,0.00,0.00,208.00,204.00,116.00,205.00
18,44.00,0.00,32.00,45.00,95.00,84.00,0.00,0.00,34.00,120.00,0.00,0.00,206.00,210.00,188.00,205.00
19,135.00,0.00,0.00,66.00,100.00,101.00,0.00,0.00,38.00,147.00,0.00,0.00,207.00,207.00,189.00,132.00
20,148.00,0.00,0.00,53.00,126.00,139.00,0.00,0.00,4.00,152.00,0.00,0.00,207.00,204.00,183.00,119.00
21,172.00,0.00,6.00,25.00,62.00,156.00,0.00,0.00,44.00,9.00,21.00,0.00,204.00,206.00,204.00,206.00
22,82.00,0.00,25.00,4.00,91.00,143.00,0.00,0.00,4.00,22.00,28.00,0.00,206.00,204.00,204.00,204.00
23,88.00,0.00,18.00,0.00,75.00,141.00,0.00,0.00,40.00,119.00,0.00,0.00,206.00,204.00,206.00,205.00
24,167.00,0.00,12.00,39.00,148.00,147.00,0.00,0.00,13.00,133.00,0.00,0.00,205.00,207.00,207.00,207.00
25,172.00,0.00,0.00,0.00,0.00,44.00,0.00,0.00,16.00,138.00,0.00,0.00,5.00,4.00,132.00,96.00
