interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,144.00,0.00,0.00,24.00,25.00,42.00,0.00,0.00,31.00,159.00,0.00,0.00,95.00,132.00,155.00,103.00
1,148.00,0.00,2.00,15.00,122.00,94.00,0.00,0.00,54.00,117.00,0.00,0.00,155.00,153.00,204.00,143.00
2,154.00,0.00,0.00,16.00,162.00,139.00,0.00,0.00,75.00,74.00,0.00,0.00,105.00,105.00,135.00,207.00
3,106.00,0.00,26.00,15.00,153.00,114.00,0.00,0.00,14.00,106.00,0.00,0.00,201.00,129.00,179.00,184.00
4,125.00,0.00,13.00,20.00,137.00,160.00,0.00,0.00,60.00,136.00,0.00,0.00,206.00,188.00,132.00,92.00
5,148.00,0.00,0.00,21.00,119.00,61.00,0.00,0.00,37.00,130.00,0.00,0.00,204.00,205.00,176.00,83.00
6,132.00,0.00,24.00,61.00,100.00,101.00,0.00,0.00,50.00,107.00,19.00,0.00,157.00,154.00,161.00,100.00
7,142.00,0.00,0.00,50.00,158.00,150.00,0.00,0.00,25.00,151.00,0.00,0.00,140.00,113.00,175.00,143.00
8,105.00,0.00,21.00,2.00,160.00,101.00,0.00,0.00,19.00,106.00,0.00,0.00,185.00,200.00,181.00,116.00
9,144.00,0.00,0.00,48.00,108.00,26.00,0.00,0.00,24.00,125.00,15.00,0.00,181.00,206.00,131.00,131.00
10,136.00,0.00,0.00,7.00,129.00,128.00,0.00,0.00,45.00,130.00,21.00,0.00,207.00,203.00,176.00,131.00
11,140.00,0.00,6.00,16.00,98.00,90.00,0.00,0.00,31.00,141.00,0.00,0.00,157.00,156.00,205.00,126.00
12,140.00,0.00,0.00,12.00,155.00,60.00,0.00,0.00,21.00,101.00,0.00,0.00,156.00,146.00,205.00,163.00
13,103.00,0.00,0.00,27.00,120.00,134.00,0.00,0.00,44.00,108.00,0.00,0.00,202.00,201.00,182.00,108.00
14,106.00,0.00,36.00,0.00,150.00,161.00,0.00,0.00,44.00,64.00,0.00,0.00,205.00,206.00,129.00,131.00
15,102.00,0.00,34.00,27.00,108.00,130.00,0.00,0.00,56.00,91.00,0.00,0.00,203.00,205.00,176.00,171.00
16,135.00,0.00,30.00,23.00,121.00,129.00,0.00,0.00,39.00,50.00,27.00,0.00,154.00,156.00,207.00,205.00
17,148.00,0.00,30.00,0.00,118.00,137.00,0.00,0.00,44.00,148.00,0.00,0.00,150.00,155.00,116.00,205.00
18,44.00,0.00,32.00,45.00,95.00,84.00,0.00,0.00,34.00,105.00,0.00,0.00,204.00,199.00,179.00,181.00
19,135.00,0.00,0.00,66.00,100.00,101.00,0.00,0.00,38.00,147.00,0.00,0.00,203.00,207.00,130.00,130.00
20,148.00,0.00,0.00,53.00,126.00,130.00,0.00,0.00,4.00,126.00,0.00,0.00,206.00,204.00,151.00,119.00
21,172.00,0.00,6.00,25.00,62.00,88.00,0.00,0.00,44.00,9.00,21.00,0.00,155.00,156.00,204.00,206.00
22,82.00,0.00,25.00,4.00,86.00,143.00,0.00,0.00,4.00,22.00,28.00,0.00,150.00,150.00,204.00,204.00
23,88.00,0.00,18.00,0.00,75.00,141.00,0.00,0.00,40.00,108.00,0.00,0.00,200.00,202.00,179.00,182.00
24,167.00,0.00,12.00,39.00,148.00,147.00,0.00,0.00,13.00,133.00,0.00,0.00,202.00,206.00,132.00,134.00
25,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,4.00,5.00,0.00,0.00,5.00,4.00,5.00,5.00
