interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,10.00,0.00,0.00,10.00,9.11,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
1,10.00,0.00,2.08,10.00,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
2,10.00,0.00,0.61,10.00,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,9.64,10.00
3,10.00,0.00,1.57,10.00,9.79,9.95,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
4,10.00,0.00,10.00,10.00,9.39,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
5,10.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
6,9.50,0.00,10.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,2.40,0.00,10.00,9.72,10.00,10.00
7,10.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,9.39,9.76,10.00
8,10.00,0.00,9.58,3.78,9.55,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
9,9.98,0.00,0.00,10.00,10.00,5.76,0.00,0.00,10.00,10.00,2.56,0.00,10.00,10.00,10.00,10.00
10,10.00,0.00,0.00,8.70,9.66,10.00,0.00,0.00,10.00,10.00,2.89,0.00,10.00,10.00,10.00,10.00
11,9.48,0.00,10.00,10.00,9.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
12,9.98,0.00,0.00,5.81,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,9.79,10.00
13,10.00,0.00,0.00,10.00,9.85,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,9.64,9.63,10.00
14,9.98,0.00,10.00,0.00,9.94,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
15,10.00,0.00,10.00,9.20,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
16,10.00,0.00,10.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,0.00,10.00,10.00,9.17,10.00
17,9.98,0.00,10.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
18,9.98,0.00,10.00,10.00,9.33,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
19,9.98,0.00,1.24,10.00,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
20,9.97,0.00,0.00,10.00,9.75,10.00,0.00,0.00,5.08,10.00,0.00,0.00,10.00,10.00,9.64,10.00
21,9.49,0.00,2.06,10.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,0.00,10.00,9.65,10.00,10.00
22,9.47,0.00,10.00,5.00,10.00,10.00,0.00,0.00,5.15,10.00,10.00,0.00,10.00,10.00,10.00,10.00
23,10.00,0.00,10.00,0.00,5.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,9.52,10.00,10.00
24,9.55,0.00,10.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00
25,9.47,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,9.51,8.22,10.00,10.00
