interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,96.47,90.98,100.00
1,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00
2,83.75,0.00,74.13,100.00,100.00,100.00,0.00,0.00,100.00,100.00,78.47,0.00,100.00,100.00,100.00,100.00
3,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,97.09,100.00,100.00,100.00
4,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,92.28,0.00,100.00,100.00,100.00,100.00
5,100.00,0.00,56.52,100.00,100.00,100.00,0.00,0.00,100.00,100.00,89.53,0.00,100.00,100.00,100.00,100.00
6,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00
7,100.00,0.00,68.23,100.00,100.00,100.00,0.00,0.00,100.00,100.00,91.39,0.00,100.00,100.00,100.00,91.89
8,100.00,0.00,100.00,73.13,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00
9,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00
10,100.00,0.00,62.81,91.68,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00
11,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00
12,100.00,0.00,74.90,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,98.23
13,100.00,0.00,100.00,99.44,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00
14,100.00,0.00,100.00,95.77,100.00,100.00,0.00,0.00,100.00,100.00,75.29,0.00,100.00,100.00,100.00,100.00
15,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,96.03,100.00,99.94,0.00,100.00,100.00,100.00,100.00
16,100.00,0.00,100.00,100.00,100.00,92.03,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00
17,100.00,0.00,100.00,100.00,99.61,100.00,0.00,0.00,100.00,100.00,73.46,0.00,100.00,100.00,100.00,100.00
18,100.00,0.00,100.00,100.00,95.74,100.00,0.00,0.00,100.00,100.00,91.47,0.00,100.00,100.00,100.00,100.00
19,100.00,0.00,96.82,100.00,100.00,98.92,0.00,0.00,100.00,100.00,84.52,0.00,100.00,100.00,100.00,100.00
20,100.00,0.00,93.41,100.00,100.00,100.00,0.00,0.00,98.40,100.00,50.00,0.00,100.00,100.00,96.33,100.00
21,100.00,0.00,95.17,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00
22,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00
23,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,93.44,0.00,100.00,100.00,100.00,100.00
24,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,84.75
25,69.73,0.00,0.00,0.00,0.00,69.81,0.00,0.00,72.36,69.99,48.55,0.00,70.04,82.20,69.99,74.99
