interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,136.00,0.00,0.00,20.00,16.00,25.00,0.00,0.00,13.40,156.00,0.00,0.00,57.00,130.00,152.00,58.00
1,92.67,0.00,2.00,22.00,85.67,77.67,0.00,0.00,46.50,113.00,0.00,0.00,107.75,121.00,153.20,138.67
2,107.50,0.00,0.00,16.00,155.00,116.67,0.00,0.00,21.00,54.67,0.00,0.00,98.75,112.00,71.75,58.25
3,121.50,0.00,26.00,11.00,151.50,114.00,0.00,0.00,14.00,90.33,0.00,0.00,161.75,109.00,93.40,202.50
4,128.00,0.00,9.67,15.33,137.00,152.00,0.00,0.00,33.00,131.33,0.00,0.00,103.83,127.00,121.75,39.40
5,137.25,0.00,0.00,17.80,106.33,45.33,0.00,0.00,20.33,134.00,0.00,0.00,103.00,85.67,130.60,107.00
6,66.50,0.00,14.25,35.75,120.33,116.25,0.00,0.00,16.80,107.00,19.00,0.00,102.17,101.67,183.50,60.50
7,92.25,0.00,0.00,50.00,137.67,134.33,0.00,0.00,22.50,147.50,0.00,0.00,163.75,142.00,61.33,114.50
8,80.25,0.00,21.00,2.00,160.00,51.00,0.00,0.00,12.20,84.33,0.00,0.00,178.67,108.60,66.80,51.00
9,93.33,0.00,0.00,29.83,64.00,26.00,0.00,0.00,10.00,124.00,12.00,0.00,93.00,125.20,111.33,116.00
10,139.00,0.00,0.00,7.00,91.50,93.00,0.00,0.00,21.62,122.33,21.00,0.00,127.75,50.83,127.83,143.00
11,140.00,0.00,4.00,19.00,113.00,80.75,0.00,0.00,27.50,139.50,0.00,0.00,102.80,103.20,104.00,140.50
12,97.50,0.00,0.00,6.50,132.00,79.75,0.00,0.00,19.50,56.00,0.00,0.00,172.67,175.00,40.17,150.50
13,67.25,0.00,0.00,24.00,118.00,128.00,0.00,0.00,22.25,112.25,0.00,0.00,205.75,121.20,92.25,52.75
14,74.33,0.00,12.40,0.00,146.50,85.50,0.00,0.00,21.83,114.33,0.00,0.00,138.17,164.80,92.00,138.33
15,71.00,0.00,9.00,27.00,84.25,72.17,0.00,0.00,22.00,81.00,0.00,0.00,151.33,153.00,146.75,180.33
16,132.00,0.00,17.83,50.00,124.25,137.75,0.00,0.00,19.33,30.00,15.75,0.00,136.00,101.50,83.60,123.40
17,148.00,0.00,13.83,0.00,121.00,143.75,0.00,0.00,35.50,93.67,0.00,0.00,114.00,179.00,43.00,92.40
18,42.50,0.00,12.25,26.20,93.50,83.00,0.00,0.00,22.75,95.33,0.00,0.00,204.33,155.25,120.50,137.33
19,122.00,0.00,0.00,38.50,100.00,64.33,0.00,0.00,15.00,142.00,0.00,0.00,70.89,155.00,158.00,94.67
20,106.00,0.00,0.00,26.50,64.00,94.00,0.00,0.00,4.00,135.25,0.00,0.00,116.00,65.25,159.67,95.67
21,101.67,0.00,6.00,25.00,45.25,130.67,0.00,0.00,25.80,9.00,10.33,0.00,82.60,101.50,127.67,176.33
22,72.50,0.00,15.33,4.00,86.50,100.25,0.00,0.00,4.00,14.50,14.75,0.00,113.40,112.00,59.50,43.17
23,63.25,0.00,9.00,0.00,75.00,139.00,0.00,0.00,27.33,72.75,0.00,0.00,122.20,203.00,72.60,132.75
24,140.00,0.00,12.00,30.00,99.33,110.67,0.00,0.00,9.50,104.50,0.00,0.00,136.17,139.00,115.25,128.00
25,145.50,0.00,0.00,0.00,0.00,23.00,0.00,0.00,15.50,127.00,0.00,0.00,4.50,4.00,131.50,67.00
