interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,136.00,0.00,0.00,20.00,16.00,25.00,0.00,0.00,13.40,156.00,0.00,0.00,57.00,130.00,152.00,58.00
1,92.67,0.00,2.00,8.67,85.67,77.00,0.00,0.00,46.50,113.00,0.00,0.00,88.75,121.00,92.40,104.33
2,103.50,0.00,0.00,16.00,75.00,66.67,0.00,0.00,21.00,54.67,0.00,0.00,87.00,69.50,71.75,58.25
3,94.50,0.00,26.00,11.00,151.50,114.00,0.00,0.00,14.00,84.00,0.00,0.00,127.00,92.00,89.20,183.00
4,101.00,0.00,9.67,15.33,137.00,152.00,0.00,0.00,33.00,82.67,0.00,0.00,37.67,94.75,99.75,39.40
5,75.50,0.00,0.00,14.80,106.33,45.33,0.00,0.00,20.00,88.67,0.00,0.00,101.20,85.33,103.40,74.67
6,66.50,0.00,14.25,32.75,91.67,87.25,0.00,0.00,16.80,107.00,19.00,0.00,86.00,85.00,96.00,45.75
7,92.25,0.00,0.00,50.00,72.67,71.00,0.00,0.00,22.50,147.50,0.00,0.00,114.00,108.67,61.33,114.50
8,57.75,0.00,21.00,2.00,160.00,51.00,0.00,0.00,12.20,84.33,0.00,0.00,97.67,64.40,66.40,51.00
9,85.67,0.00,0.00,29.83,64.00,26.00,0.00,0.00,10.00,90.50,12.00,0.00,62.17,85.20,86.50,103.25
10,91.00,0.00,0.00,7.00,89.00,84.33,0.00,0.00,21.62,80.67,21.00,0.00,127.25,50.83,85.67,105.00
11,140.00,0.00,4.00,15.50,88.50,79.50,0.00,0.00,16.38,139.50,0.00,0.00,83.40,83.40,60.25,76.75
12,97.50,0.00,0.00,6.50,99.33,39.75,0.00,0.00,19.50,56.00,0.00,0.00,138.67,126.00,40.17,150.50
13,53.50,0.00,0.00,24.00,118.00,128.00,0.00,0.00,22.25,95.50,0.00,0.00,128.00,92.00,86.00,52.75
14,71.67,0.00,12.40,0.00,146.50,85.50,0.00,0.00,21.83,58.67,0.00,0.00,71.00,85.00,76.00,126.67
15,35.67,0.00,9.00,27.00,84.25,68.00,0.00,0.00,20.33,49.00,0.00,0.00,151.33,153.00,85.00,140.67
16,132.00,0.00,17.83,23.00,93.00,100.75,0.00,0.00,19.33,30.00,15.75,0.00,119.67,89.25,48.40,55.20
17,148.00,0.00,13.83,0.00,68.00,82.50,0.00,0.00,35.50,93.67,0.00,0.00,73.00,129.75,43.00,92.40
18,42.50,0.00,12.25,26.20,93.50,83.00,0.00,0.00,22.75,90.33,0.00,0.00,154.33,78.00,117.25,121.00
19,107.33,0.00,0.00,38.50,100.00,64.33,0.00,0.00,15.00,115.33,0.00,0.00,25.67,105.25,120.67,94.00
20,39.50,0.00,0.00,25.50,64.00,91.00,0.00,0.00,4.00,62.75,0.00,0.00,115.25,65.25,125.33,86.67
21,101.67,0.00,6.00,25.00,45.25,83.00,0.00,0.00,25.80,9.00,10.33,0.00,72.80,89.00,79.33,136.67
22,72.50,0.00,15.33,4.00,58.00,78.25,0.00,0.00,4.00,14.50,14.75,0.00,73.20,72.60,59.50,43.17
23,63.25,0.00,9.00,0.00,75.00,139.00,0.00,0.00,27.33,68.00,0.00,0.00,92.20,128.00,67.20,121.25
24,112.33,0.00,12.00,30.00,99.33,110.67,0.00,0.00,9.50,90.25,0.00,0.00,69.67,71.67,96.50,97.50
25,5.00,0.00,0.00,0.00,0.00,3.50,0.00,0.00,3.00,5.00,0.00,0.00,4.50,4.00,5.00,5.00
