interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4.35,0.00,0.00,0.65,0.61,1.23,0.00,0.00,1.57,5.13,0.00,0.00,4.07,3.56,4.97,3.52
1,4.11,0.00,0.05,0.61,4.35,4.56,0.00,0.00,1.51,3.70,0.00,0.00,5.90,7.06,7.02,5.68
2,6.74,0.00,0.00,0.46,5.42,4.98,0.00,0.00,2.61,2.95,0.00,0.00,5.65,3.80,4.43,7.60
3,6.22,0.00,0.12,0.49,4.34,3.30,0.00,0.00,0.39,5.76,0.00,0.00,8.34,5.03,6.81,6.10
4,5.92,0.00,0.62,0.85,3.47,5.07,0.00,0.00,1.59,6.37,0.00,0.00,6.09,5.53,6.50,4.69
5,4.96,0.00,0.00,1.57,5.47,2.44,0.00,0.00,1.00,4.51,0.00,0.00,8.40,6.98,8.47,4.68
6,4.15,0.00,1.67,2.25,4.97,5.41,0.00,0.00,1.35,3.53,0.13,0.00,8.19,6.94,6.45,3.20
7,5.95,0.00,0.00,1.51,5.14,5.02,0.00,0.00,0.72,4.84,0.00,0.00,7.28,6.08,5.64,3.45
8,3.79,0.00,0.68,0.01,4.32,2.93,0.00,0.00,0.89,5.16,0.00,0.00,7.01,7.21,8.23,4.00
9,6.39,0.00,0.00,2.86,2.72,0.48,0.00,0.00,1.19,6.00,0.17,0.00,5.59,5.89,8.25,6.80
10,4.53,0.00,0.00,0.17,4.81,4.21,0.00,0.00,2.89,3.95,0.19,0.00,8.06,6.96,7.81,6.93
11,4.38,0.00,0.13,0.91,4.62,5.29,0.00,0.00,2.02,4.59,0.00,0.00,7.72,7.12,7.74,5.06
12,4.96,0.00,0.00,0.21,4.72,2.66,0.00,0.00,0.61,4.40,0.00,0.00,8.31,6.48,7.48,4.83
13,3.47,0.00,0.00,0.75,3.38,3.93,0.00,0.00,2.21,6.19,0.00,0.00,8.50,6.98,7.98,3.24
14,5.13,0.00,0.49,0.00,4.21,5.67,0.00,0.00,2.00,3.97,0.00,0.00,7.00,6.14,7.61,8.28
15,3.46,0.00,1.20,0.80,5.64,6.74,0.00,0.00,0.99,3.23,0.00,0.00,8.06,8.11,8.10,8.34
16,4.31,0.00,1.82,0.71,5.74,6.71,0.00,0.00,1.42,0.79,0.93,0.00,7.76,7.22,7.18,7.94
17,4.88,0.00,1.35,0.00,4.51,5.46,0.00,0.00,1.71,4.43,0.00,0.00,7.76,8.17,3.73,7.63
18,2.75,0.00,1.24,2.27,2.52,2.73,0.00,0.00,2.04,5.68,0.00,0.00,8.35,7.31,7.71,6.03
19,6.21,0.00,0.01,2.86,2.70,3.04,0.00,0.00,1.19,6.64,0.00,0.00,6.09,6.18,7.60,4.47
20,4.89,0.00,0.00,2.63,3.43,5.77,0.00,0.00,0.05,4.07,0.00,0.00,7.88,6.58,7.22,6.12
21,4.38,0.00,0.03,0.74,2.97,4.88,0.00,0.00,2.66,0.26,0.96,0.00,7.49,6.93,7.81,7.12
22,2.07,0.00,1.27,0.04,3.46,5.51,0.00,0.00,0.05,0.86,1.38,0.00,7.43,7.16,7.68,7.58
23,3.83,0.00,0.92,0.00,1.23,4.04,0.00,0.00,1.26,4.48,0.00,0.00,7.94,7.00,8.31,7.93
24,5.67,0.00,0.51,1.49,4.95,5.57,0.00,0.00,0.56,5.86,0.00,0.00,6.90,5.87,8.56,6.13
25,9.19,0.00,0.00,0.00,0.00,6.60,0.00,0.00,5.54,10.00,0.00,0.00,6.70,4.91,10.00,10.00
