interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.90,0.00,0.00,0.13,0.15,0.24,0.00,0.00,0.21,1.03,0.00,0.00,0.56,0.86,1.02,0.38
1,0.92,0.00,0.03,0.08,0.85,0.76,0.00,0.00,0.30,0.75,0.00,0.00,1.18,1.20,1.53,1.04
2,1.37,0.00,0.01,0.05,0.75,0.66,0.00,0.00,0.33,0.54,0.00,0.00,1.15,0.46,0.94,1.53
3,1.25,0.00,0.08,0.10,1.00,0.38,0.00,0.00,0.04,0.83,0.00,0.00,1.69,0.61,1.48,1.22
4,1.19,0.00,0.22,0.14,0.45,1.01,0.00,0.00,0.32,0.82,0.00,0.00,0.74,1.25,1.32,0.64
5,1.00,0.00,0.00,0.23,1.05,0.44,0.00,0.00,0.19,0.88,0.00,0.00,1.68,0.85,1.72,0.74
6,0.89,0.00,0.31,0.43,0.91,1.16,0.00,0.00,0.26,0.35,0.06,0.00,1.71,0.84,1.31,0.60
7,1.22,0.00,0.00,0.16,0.72,0.71,0.00,0.00,0.14,0.98,0.00,0.00,1.51,1.08,0.60,0.76
8,0.76,0.00,0.11,0.00,0.53,0.67,0.00,0.00,0.19,0.83,0.00,0.00,0.97,1.06,1.69,0.85
9,0.85,0.00,0.00,0.58,0.63,0.08,0.00,0.00,0.15,0.60,0.07,0.00,1.23,1.41,1.73,1.37
10,0.90,0.00,0.00,0.02,0.59,0.84,0.00,0.00,0.55,0.80,0.07,0.00,1.69,1.00,1.71,1.39
11,0.46,0.00,0.03,0.10,0.59,1.05,0.00,0.00,0.42,0.92,0.00,0.00,1.38,1.38,1.57,1.02
12,0.64,0.00,0.00,0.04,0.99,0.52,0.00,0.00,0.12,0.55,0.00,0.00,1.38,0.84,0.81,1.00
13,0.70,0.00,0.00,0.15,0.78,0.85,0.00,0.00,0.28,1.27,0.00,0.00,1.70,1.52,1.14,0.69
14,0.71,0.00,0.19,0.00,0.97,1.13,0.00,0.00,0.42,0.58,0.00,0.00,1.41,1.41,1.68,1.26
15,0.35,0.00,0.25,0.09,1.11,1.35,0.00,0.00,0.20,0.32,0.00,0.00,1.50,1.52,1.14,1.40
16,0.87,0.00,0.40,0.08,1.23,1.34,0.00,0.00,0.18,0.19,0.20,0.00,1.19,1.18,0.79,0.91
17,0.49,0.00,0.29,0.00,0.90,1.09,0.00,0.00,0.23,0.93,0.00,0.00,1.21,1.72,0.89,1.52
18,0.28,0.00,0.15,0.42,0.62,0.55,0.00,0.00,0.29,0.90,0.00,0.00,1.54,1.03,1.56,1.21
19,1.07,0.00,0.01,0.50,0.33,0.63,0.00,0.00,0.14,1.15,0.00,0.00,0.75,1.40,1.20,0.93
20,1.07,0.00,0.00,0.49,0.42,0.90,0.00,0.00,0.01,0.83,0.00,0.00,1.53,0.86,1.25,0.86
21,1.01,0.00,0.02,0.08,0.59,0.83,0.00,0.00,0.41,0.03,0.18,0.00,1.20,1.18,1.57,1.36
22,0.48,0.00,0.25,0.01,0.77,1.03,0.00,0.00,0.01,0.18,0.20,0.00,1.21,1.20,1.46,0.84
23,0.83,0.00,0.28,0.00,0.25,0.92,0.00,0.00,0.26,0.90,0.00,0.00,1.52,0.85,1.12,1.61
24,1.30,0.00,0.16,0.29,0.98,1.10,0.00,0.00,0.11,1.20,0.00,0.00,1.38,0.71,1.71,1.29
25,2.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,1.20,2.00,0.00,0.00,1.40,0.60,2.00,2.00
