interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,35.92,0.00,2.88,9.65,7.56,14.69,0.00,0.00,23.18,43.35,1.76,0.00,42.96,28.00,38.09,37.98
1,36.76,0.00,5.29,12.91,37.27,45.44,0.00,0.00,18.78,33.53,2.40,0.00,47.50,65.99,58.95,50.81
2,56.48,0.00,1.88,11.90,59.28,54.04,0.00,0.00,30.78,29.73,1.47,0.00,46.11,43.20,38.42,65.24
3,52.16,0.00,5.57,11.36,40.06,40.99,0.00,0.00,8.63,60.98,3.30,0.00,63.93,55.11,52.59,50.37
4,47.24,0.00,13.10,13.14,39.38,44.47,0.00,0.00,18.94,65.92,1.49,0.00,73.03,49.18,52.92,49.87
5,45.90,0.00,1.42,20.01,51.10,23.62,0.00,0.00,14.50,45.11,2.38,0.00,66.63,77.78,67.14,44.54
6,35.86,0.00,23.87,25.54,47.26,42.94,0.00,0.00,20.73,41.68,5.81,0.00,62.65,77.67,53.43,33.72
7,48.75,0.00,2.16,21.80,59.13,59.93,0.00,0.00,10.36,42.14,2.86,0.00,59.92,58.45,65.07,31.38
8,32.91,0.00,14.02,2.66,50.36,27.76,0.00,0.00,16.04,49.18,1.89,0.00,70.41,74.08,66.46,38.52
9,63.11,0.00,3.55,28.47,26.60,7.42,0.00,0.00,21.87,66.65,4.82,0.00,52.83,53.51,65.61,55.30
10,41.23,0.00,2.25,5.18,53.71,35.87,0.00,0.00,29.77,40.86,4.51,0.00,65.77,74.69,63.62,56.41
11,49.05,0.00,7.80,13.92,51.94,45.38,0.00,0.00,24.94,38.43,4.28,0.00,70.97,65.24,64.80,46.10
12,56.10,0.00,2.42,7.93,46.96,25.93,0.00,0.00,10.70,47.66,1.77,0.00,73.65,71.22,84.72,43.03
13,32.55,0.00,2.98,11.07,29.99,32.49,0.00,0.00,29.45,51.24,3.00,0.00,67.15,57.57,79.14,30.35
14,53.39,0.00,10.50,3.26,35.22,47.85,0.00,0.00,23.43,38.58,2.50,0.00,64.13,56.82,59.96,77.04
15,43.39,0.00,17.91,12.63,48.48,57.94,0.00,0.00,12.73,41.68,2.81,0.00,67.65,67.13,80.18,73.36
16,37.35,0.00,21.90,12.86,47.04,56.33,0.00,0.00,21.49,11.70,13.16,0.00,73.78,71.52,81.84,86.30
17,53.62,0.00,21.10,3.25,43.93,48.73,0.00,0.00,21.76,40.99,1.78,0.00,73.29,66.26,37.12,63.66
18,30.70,0.00,20.32,26.36,22.45,26.34,0.00,0.00,29.79,56.00,2.53,0.00,69.47,75.84,59.10,48.69
19,56.68,0.00,3.79,32.14,32.96,28.90,0.00,0.00,16.54,61.95,1.94,0.00,74.43,57.27,68.93,36.20
20,45.05,0.00,2.00,27.70,43.63,58.68,0.00,0.00,4.46,40.42,1.11,0.00,70.00,72.72,65.61,61.95
21,38.55,0.00,3.00,13.08,28.96,47.48,0.00,0.00,30.68,6.33,14.09,0.00,71.92,66.22,65.73,64.48
22,20.61,0.00,18.31,4.46,30.85,56.44,0.00,0.00,5.31,11.78,20.85,0.00,72.09,68.61,67.28,85.56
23,32.91,0.00,15.65,3.38,16.72,35.04,0.00,0.00,14.85,38.74,2.25,0.00,69.27,76.05,81.07,66.08
24,48.71,0.00,9.92,15.81,47.42,50.04,0.00,0.00,9.59,47.10,3.40,0.00,61.73,73.87,67.06,51.72
25,62.31,0.00,0.00,0.00,0.00,63.62,0.00,0.00,58.59,67.02,9.71,0.00,69.02,80.12,69.99,74.99
