interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.71,-1.00,14.53,3.94,2.59,1.91,-1.00,-1.00,3.15,0.96,18.32,-1.00,0.97,0.98,0.56,1.32
1,1.03,-1.00,9.33,4.96,0.73,0.91,-1.00,-1.00,2.70,1.32,15.46,-1.00,0.66,0.59,0.63,0.75
2,0.76,-1.00,11.75,7.21,1.19,1.20,-1.00,-1.00,1.39,1.32,18.44,-1.00,0.71,1.30,0.84,0.75
3,0.78,-1.00,7.07,5.55,1.28,2.32,-1.00,-1.00,6.27,1.22,17.49,-1.00,0.44,0.77,0.35,0.63
4,0.60,-1.00,3.26,4.20,1.28,0.63,-1.00,-1.00,2.35,1.32,18.63,-1.00,1.72,0.77,0.69,0.99
5,1.32,-1.00,14.53,1.61,0.97,0.90,-1.00,-1.00,3.74,1.69,17.51,-1.00,0.55,0.83,0.38,0.99
6,0.86,-1.00,2.67,1.86,0.79,0.73,-1.00,-1.00,2.72,2.47,8.67,-1.00,0.40,0.83,0.82,1.17
7,0.70,-1.00,14.22,3.76,1.66,1.49,-1.00,-1.00,4.61,1.15,16.78,-1.00,0.53,0.61,1.86,0.81
8,1.18,-1.00,4.80,10.29,1.71,1.01,-1.00,-1.00,3.44,0.83,15.57,-1.00,0.65,0.56,0.43,0.87
9,0.46,-1.00,14.80,1.46,1.21,4.34,-1.00,-1.00,3.15,1.35,5.18,-1.00,1.12,0.99,0.34,0.75
10,1.17,-1.00,14.53,9.72,1.21,0.80,-1.00,-1.00,1.21,1.62,7.09,-1.00,0.55,0.65,0.41,0.54
11,1.33,-1.00,6.64,5.35,1.22,0.68,-1.00,-1.00,1.78,0.87,15.54,-1.00,0.51,0.51,0.61,0.96
12,1.19,-1.00,14.67,7.64,0.93,1.35,-1.00,-1.00,3.83,1.52,17.97,-1.00,0.56,1.14,1.08,0.97
13,1.27,-1.00,14.08,4.09,1.02,0.79,-1.00,-1.00,2.96,0.59,15.71,-1.00,0.46,0.41,0.66,1.02
14,1.30,-1.00,2.87,13.23,1.08,0.97,-1.00,-1.00,1.85,0.83,18.24,-1.00,0.97,1.01,0.51,0.56
15,2.74,-1.00,3.22,4.97,0.62,0.67,-1.00,-1.00,1.92,2.61,17.19,-1.00,0.67,0.61,0.51,0.64
16,1.20,-1.00,2.00,5.59,0.58,0.59,-1.00,-1.00,3.28,2.77,3.12,-1.00,0.70,0.54,1.18,0.94
17,1.17,-1.00,2.33,14.70,1.15,0.84,-1.00,-1.00,2.56,1.14,18.51,-1.00,0.62,0.49,1.53,0.89
18,1.58,-1.00,4.28,2.14,1.06,1.50,-1.00,-1.00,3.00,0.91,16.97,-1.00,0.52,0.66,0.41,0.71
19,0.74,-1.00,11.04,1.36,2.33,1.12,-1.00,-1.00,3.52,0.99,16.68,-1.00,1.61,1.05,0.60,0.51
20,1.06,-1.00,14.46,1.05,1.94,1.14,-1.00,-1.00,8.03,1.71,18.41,-1.00,0.45,0.73,0.64,0.78
21,0.74,-1.00,9.17,6.29,0.73,0.94,-1.00,-1.00,1.51,7.13,3.67,-1.00,0.62,0.60,0.64,0.74
22,1.25,-1.00,2.59,11.16,0.84,1.28,-1.00,-1.00,9.37,2.89,3.83,-1.00,0.59,0.60,0.75,1.13
23,0.75,-1.00,2.95,14.72,2.74,1.10,-1.00,-1.00,2.27,1.13,17.09,-1.00,0.49,0.90,0.66,0.55
24,0.69,-1.00,3.57,2.07,1.07,0.77,-1.00,-1.00,4.12,0.60,15.46,-1.00,1.06,1.59,0.41,0.49
25,0.32,-1.00,-1.00,-1.00,-1.00,0.17,-1.00,-1.00,0.94,0.18,21.01,-1.00,0.23,1.02,0.00,0.00
