interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,24.93,-1.00,1.07,4.69,6.67,9.30,-1.00,-1.00,5.34,20.54,0.86,-1.00,17.98,15.57,32.19,12.97
1,17.55,-1.00,1.74,3.66,22.77,17.43,-1.00,-1.00,6.63,14.64,1.07,-1.00,24.19,28.33,25.64,23.74
2,19.76,-1.00,1.12,2.43,13.21,13.54,-1.00,-1.00,11.43,13.08,0.72,-1.00,22.56,12.97,19.94,22.99
3,21.81,-1.00,2.40,3.33,15.24,8.53,-1.00,-1.00,2.57,15.23,0.83,-1.00,36.07,23.15,42.18,26.52
4,26.03,-1.00,5.47,3.91,13.36,30.56,-1.00,-1.00,7.37,11.66,0.71,-1.00,9.67,22.66,22.91,16.84
5,13.46,-1.00,1.08,10.15,19.06,19.53,-1.00,-1.00,4.29,10.14,0.98,-1.00,31.94,22.84,42.97,17.09
6,20.02,-1.00,6.79,9.37,20.51,20.18,-1.00,-1.00,6.99,6.96,2.05,-1.00,34.92,22.92,18.65,14.73
7,25.33,-1.00,1.03,5.06,11.10,12.81,-1.00,-1.00,3.56,16.08,0.94,-1.00,32.62,26.13,8.93,21.23
8,13.35,-1.00,3.94,1.49,11.06,15.47,-1.00,-1.00,5.08,20.18,0.91,-1.00,24.89,30.17,32.76,20.15
9,34.53,-1.00,0.99,12.88,13.53,3.77,-1.00,-1.00,5.33,14.26,3.53,-1.00,13.97,16.73,43.35,22.51
10,15.98,-1.00,1.07,1.65,14.03,20.32,-1.00,-1.00,12.33,10.62,2.11,-1.00,27.40,26.70,39.63,30.07
11,13.14,-1.00,2.50,3.26,13.90,26.68,-1.00,-1.00,9.01,23.74,1.00,-1.00,32.64,32.95,28.25,17.15
12,15.08,-1.00,0.99,2.17,20.44,12.06,-1.00,-1.00,4.98,10.40,0.74,-1.00,29.88,14.48,15.49,16.97
13,14.04,-1.00,1.14,4.40,18.03,22.12,-1.00,-1.00,5.66,25.76,0.94,-1.00,39.21,41.63,26.98,15.39
14,12.70,-1.00,6.15,1.15,17.44,17.37,-1.00,-1.00,9.70,19.80,0.89,-1.00,19.48,16.87,30.34,27.52
15,5.97,-1.00,5.65,3.57,24.71,25.44,-1.00,-1.00,7.44,6.82,0.82,-1.00,24.74,26.09,31.76,25.76
16,14.35,-1.00,8.25,2.98,26.91,25.85,-1.00,-1.00,5.54,6.32,5.21,-1.00,23.14,32.93,15.67,17.59
17,14.82,-1.00,8.19,1.04,15.47,19.04,-1.00,-1.00,7.32,17.03,0.73,-1.00,25.28,34.62,11.25,19.89
18,11.07,-1.00,3.98,8.51,15.60,10.82,-1.00,-1.00,5.87,19.08,0.91,-1.00,33.11,25.28,35.52,26.36
19,22.14,-1.00,1.48,14.13,7.81,16.25,-1.00,-1.00,4.91,18.37,0.95,-1.00,11.33,16.60,26.29,30.55
20,16.43,-1.00,1.07,16.37,9.40,14.16,-1.00,-1.00,1.93,10.58,0.66,-1.00,38.96,20.46,24.09,20.81
21,25.96,-1.00,1.73,2.73,20.23,16.81,-1.00,-1.00,12.07,2.31,4.65,-1.00,23.52,24.74,27.94,23.53
22,14.55,-1.00,7.12,1.50,18.30,14.03,-1.00,-1.00,1.78,5.62,4.58,-1.00,27.09,28.78,23.72,14.84
23,21.59,-1.00,5.60,0.98,6.33,14.58,-1.00,-1.00,7.66,14.17,0.87,-1.00,33.29,18.36,22.13,27.53
24,23.75,-1.00,5.28,8.61,17.66,24.37,-1.00,-1.00,4.16,26.05,0.86,-1.00,17.03,12.31,39.73,28.16
25,4.78,-1.00,-1.00,-1.00,-1.00,3.56,-1.00,-1.00,4.54,4.99,0.38,-1.00,4.75,4.94,5.00,5.00
