interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1.05,0.00,0.10,0.26,0.25,0.38,0.00,0.00,0.43,1.23,0.08,0.00,0.70,1.06,1.11,0.47
1,1.12,0.00,0.22,0.27,0.95,0.91,0.00,0.00,0.52,0.95,0.09,0.00,1.35,1.37,1.79,1.25
2,1.60,0.00,0.10,0.27,0.99,0.87,0.00,0.00,0.50,0.72,0.08,0.00,1.34,0.61,1.13,1.85
3,1.45,0.00,0.24,0.33,1.26,0.58,0.00,0.00,0.19,1.04,0.13,0.00,1.85,0.73,1.58,1.38
4,1.34,0.00,0.46,0.34,0.58,1.17,0.00,0.00,0.51,1.07,0.07,0.00,1.12,1.50,1.53,0.84
5,1.33,0.00,0.07,0.37,1.29,0.55,0.00,0.00,0.42,1.22,0.08,0.00,1.87,1.04,1.90,0.90
6,1.07,0.00,0.56,0.66,1.07,1.35,0.00,0.00,0.50,0.58,0.20,0.00,1.91,1.04,1.57,0.80
7,1.41,0.00,0.09,0.35,1.02,1.04,0.00,0.00,0.33,1.20,0.11,0.00,1.68,1.27,0.88,0.89
8,0.97,0.00,0.32,0.12,0.74,0.88,0.00,0.00,0.46,1.00,0.08,0.00,1.13,1.25,1.92,1.06
9,0.95,0.00,0.15,0.81,0.83,0.16,0.00,0.00,0.43,0.78,0.18,0.00,1.61,1.79,1.92,1.57
10,1.15,0.00,0.11,0.14,0.76,1.01,0.00,0.00,0.76,1.13,0.21,0.00,1.91,1.21,1.90,1.56
11,0.62,0.00,0.23,0.25,0.75,1.20,0.00,0.00,0.75,1.08,0.17,0.00,1.58,1.60,1.86,1.29
12,0.81,0.00,0.11,0.22,1.22,0.70,0.00,0.00,0.29,0.77,0.09,0.00,1.56,1.04,1.10,1.20
13,0.91,0.00,0.11,0.35,0.96,1.02,0.00,0.00,0.55,1.43,0.14,0.00,1.89,1.71,1.31,0.88
14,0.91,0.00,0.37,0.13,1.19,1.37,0.00,0.00,0.66,0.69,0.10,0.00,1.79,1.81,1.89,1.42
15,0.64,0.00,0.50,0.20,1.29,1.60,0.00,0.00,0.31,0.58,0.12,0.00,1.72,1.73,1.31,1.61
16,1.09,0.00,0.66,0.26,1.39,1.52,0.00,0.00,0.40,0.32,0.40,0.00,1.37,1.36,1.06,1.18
17,0.65,0.00,0.57,0.11,1.16,1.34,0.00,0.00,0.36,1.15,0.09,0.00,1.41,1.91,1.20,1.81
18,0.37,0.00,0.40,0.68,0.78,0.74,0.00,0.00,0.62,1.09,0.12,0.00,1.71,1.23,1.71,1.37
19,1.24,0.00,0.15,0.72,0.51,0.81,0.00,0.00,0.29,1.36,0.09,0.00,1.13,1.77,1.37,1.06
20,1.35,0.00,0.09,0.64,0.67,1.12,0.00,0.00,0.15,1.18,0.07,0.00,1.74,1.07,1.43,1.02
21,1.18,0.00,0.13,0.26,0.71,1.03,0.00,0.00,0.62,0.14,0.39,0.00,1.39,1.37,1.84,1.65
22,0.63,0.00,0.47,0.16,0.97,1.42,0.00,0.00,0.17,0.33,0.44,0.00,1.40,1.39,1.76,1.17
23,0.98,0.00,0.54,0.14,0.41,1.16,0.00,0.00,0.46,1.13,0.09,0.00,1.72,1.04,1.32,1.82
24,1.49,0.00,0.32,0.43,1.26,1.28,0.00,0.00,0.27,1.36,0.17,0.00,1.75,1.08,1.90,1.46
25,2.00,0.00,0.00,0.00,0.00,1.60,0.00,0.00,2.00,2.00,0.20,0.00,2.00,1.00,2.00,2.00
