interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,12,0,13,13,10,11,0,0,20,17,11,0,11,19,10,10
1,18,0,22,15,12,14,0,0,19,18,12,0,14,13,18,14
2,22,0,12,22,19,16,0,0,12,15,13,0,15,12,16,22
3,17,0,20,22,22,17,0,0,15,18,18,0,13,8,9,13
4,13,0,20,20,12,11,0,0,18,23,10,0,29,18,17,14
5,25,0,9,8,19,8,0,0,22,32,11,0,15,12,11,13
6,15,0,21,18,14,17,0,0,18,21,19,0,14,12,22,14
7,16,0,12,17,23,20,0,0,21,21,15,0,13,13,25,12
8,18,0,18,12,18,15,0,0,22,13,13,0,11,10,15,15
9,6,0,20,17,17,10,0,0,20,14,11,0,31,29,11,18
10,19,0,13,14,14,13,0,0,16,28,18,0,18,11,12,13
11,13,0,19,16,14,12,0,0,20,13,23,0,12,12,17,19
12,15,0,15,20,16,14,0,0,14,20,15,0,14,19,20,20
13,16,0,15,18,14,13,0,0,24,14,19,0,12,11,13,15
14,18,0,15,17,19,22,0,0,18,8,14,0,24,28,16,13
15,26,0,22,13,15,16,0,0,10,21,18,0,19,18,10,17
16,21,0,20,18,13,15,0,0,18,13,19,0,16,11,18,17
17,11,0,18,17,19,18,0,0,13,18,14,0,14,14,29,25
18,9,0,24,21,13,18,0,0,26,15,16,0,14,12,12,13
19,15,0,17,14,17,14,0,0,14,20,12,0,25,29,13,9
20,21,0,12,10,19,21,0,0,14,28,13,0,11,14,16,13
21,13,0,13,20,10,15,0,0,14,12,20,0,16,15,17,19
22,12,0,17,18,13,27,0,0,17,15,23,0,13,12,21,21
23,13,0,23,19,15,21,0,0,15,20,12,0,14,15,16,17
24,16,0,15,13,20,15,0,0,15,13,25,0,27,23,12,13
25,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
