interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,12,0,13,11,10,10,0,0,19,17,11,0,9,18,8,9
1,17,0,21,17,10,13,0,0,20,18,12,0,14,13,20,14
2,21,0,13,22,20,17,0,0,12,14,13,0,15,12,14,21
3,17,0,20,22,23,18,0,0,15,17,18,0,13,8,9,15
4,13,0,20,18,12,11,0,0,17,24,10,0,29,18,17,12
5,27,0,9,9,18,6,0,0,23,33,11,0,15,12,11,14
6,15,0,21,19,13,17,0,0,18,21,19,0,14,12,23,15
7,14,0,12,17,25,21,0,0,21,20,15,0,13,12,24,12
8,18,0,18,12,18,16,0,0,22,13,13,0,12,11,15,13
9,7,0,20,17,16,9,0,0,19,14,11,0,30,28,11,18
10,20,0,13,13,14,13,0,0,15,29,18,0,18,11,12,13
11,13,0,19,17,14,11,0,0,22,13,23,0,13,13,19,21
12,13,0,15,20,16,16,0,0,14,18,15,0,13,19,19,19
13,16,0,15,18,15,13,0,0,24,14,19,0,12,10,12,14
14,19,0,15,17,19,20,0,0,17,9,14,0,25,29,16,14
15,27,0,21,12,13,16,0,0,11,22,18,0,19,18,11,16
16,20,0,21,19,13,15,0,0,18,12,19,0,15,10,19,18
17,12,0,18,17,20,19,0,0,13,18,14,0,15,14,27,24
18,8,0,24,21,14,19,0,0,26,15,16,0,13,13,12,14
19,14,0,17,13,17,13,0,0,14,19,12,0,25,29,14,9
20,23,0,12,11,19,20,0,0,14,30,13,0,12,14,15,13
21,13,0,13,20,8,16,0,0,14,12,20,0,15,14,19,19
22,12,0,16,18,14,27,0,0,17,13,23,0,14,13,20,20
23,11,0,24,19,16,22,0,0,15,20,12,0,13,15,15,17
24,16,0,15,13,20,14,0,0,13,13,25,0,28,23,12,13
25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
