interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,12,0,13,13,10,11,0,0,20,17,11,0,11,19,10,10
1,18,0,22,17,12,15,0,0,20,18,12,0,16,14,20,15
2,23,0,13,22,21,18,0,0,12,15,13,0,17,13,16,23
3,19,0,20,22,23,18,0,0,15,19,18,0,15,9,11,15
4,15,0,20,20,12,11,0,0,18,25,10,0,31,19,19,14
5,27,0,9,10,19,8,0,0,23,33,11,0,17,13,13,15
6,15,0,21,19,15,19,0,0,18,21,19,0,16,13,24,15
7,16,0,12,17,25,22,0,0,21,21,15,0,15,14,26,12
8,20,0,18,12,18,16,0,0,22,14,13,0,13,12,17,15
9,8,0,20,17,17,10,0,0,20,15,11,0,32,30,13,20
10,20,0,13,14,15,14,0,0,17,29,18,0,20,13,14,15
11,13,0,19,17,15,13,0,0,22,13,23,0,14,14,19,21
12,15,0,15,20,17,16,0,0,14,20,15,0,15,20,20,20
13,18,0,15,18,15,13,0,0,24,16,19,0,14,12,14,16
14,20,0,15,17,19,22,0,0,18,10,14,0,26,30,18,15
15,27,0,22,13,15,18,0,0,11,22,18,0,20,19,12,18
16,21,0,21,19,15,17,0,0,18,13,19,0,17,12,19,19
17,12,0,18,17,21,20,0,0,13,19,14,0,16,16,29,26
18,9,0,24,21,14,19,0,0,26,16,16,0,15,14,14,15
19,16,0,17,14,17,14,0,0,14,21,12,0,27,30,15,10
20,23,0,12,11,19,22,0,0,14,30,13,0,13,15,17,14
21,13,0,13,20,10,17,0,0,14,12,20,0,17,16,19,20
22,12,0,17,18,15,28,0,0,17,15,23,0,15,14,21,22
23,13,0,24,19,16,22,0,0,15,22,12,0,15,16,17,19
24,18,0,15,13,20,15,0,0,15,15,25,0,29,24,14,15
25,2,0,0,0,0,2,0,0,2,2,1,0,2,1,2,2
