interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,301.59,0.00,16.79,64.03,68.71,104.70,0.00,0.00,110.65,353.17,12.06,0.00,200.08,298.92,324.07,131.69
1,319.62,0.00,42.74,66.25,275.53,264.19,0.00,0.00,136.84,267.69,15.72,0.00,390.08,399.32,516.35,359.17
2,458.17,0.00,16.60,58.36,281.11,247.08,0.00,0.00,139.21,199.16,11.71,0.00,386.63,171.19,322.14,533.51
3,418.21,0.00,52.32,78.34,355.89,157.90,0.00,0.00,41.47,293.63,18.64,0.00,543.78,210.27,465.89,400.63
4,393.23,0.00,113.57,82.20,162.65,338.67,0.00,0.00,136.37,295.84,8.80,0.00,305.64,434.45,438.80,238.50
5,369.12,0.00,11.70,103.49,366.35,157.97,0.00,0.00,102.90,340.99,13.82,0.00,546.66,299.99,561.13,259.26
6,303.12,0.00,147.08,181.89,310.54,386.46,0.00,0.00,130.02,150.31,43.38,0.00,561.15,300.97,451.51,223.98
7,408.54,0.00,14.63,90.14,283.13,287.03,0.00,0.00,78.88,342.23,17.58,0.00,492.35,368.32,237.16,257.11
8,270.62,0.00,75.20,20.22,203.10,250.24,0.00,0.00,116.37,285.19,14.32,0.00,326.03,364.41,559.39,305.40
9,277.78,0.00,23.58,222.77,233.15,39.66,0.00,0.00,110.58,217.52,41.32,0.00,452.63,507.49,565.71,454.06
10,324.15,0.00,16.79,25.99,213.43,287.11,0.00,0.00,212.37,313.75,41.06,0.00,551.38,349.95,557.51,453.96
11,173.36,0.00,51.34,59.14,211.51,349.81,0.00,0.00,202.14,312.00,28.06,0.00,459.71,463.99,540.58,364.10
12,229.49,0.00,17.72,47.50,351.39,195.93,0.00,0.00,73.07,211.51,13.69,0.00,451.14,293.29,313.49,343.16
13,256.71,0.00,20.45,83.18,273.75,290.08,0.00,0.00,140.49,414.88,21.70,0.00,552.09,501.99,380.75,249.07
14,257.80,0.00,95.45,22.98,335.52,386.27,0.00,0.00,178.43,200.00,16.11,0.00,512.47,511.85,549.29,415.37
15,166.17,0.00,129.15,49.38,373.18,461.66,0.00,0.00,83.47,154.74,18.15,0.00,498.65,499.07,383.34,467.03
16,305.52,0.00,177.10,60.60,406.38,442.25,0.00,0.00,103.68,84.94,102.50,0.00,396.49,397.73,301.99,337.80
17,180.28,0.00,151.64,21.15,329.38,384.46,0.00,0.00,98.17,328.03,12.86,0.00,407.30,557.06,331.94,522.52
18,101.45,0.00,100.37,183.29,220.93,208.97,0.00,0.00,158.12,308.62,18.27,0.00,499.79,356.66,499.55,398.90
19,357.31,0.00,28.79,201.15,136.42,230.53,0.00,0.00,71.61,390.48,14.15,0.00,311.99,504.14,397.07,307.21
20,382.55,0.00,15.35,182.21,182.73,315.54,0.00,0.00,29.66,323.91,10.59,0.00,509.16,309.41,412.45,293.90
21,340.38,0.00,25.08,58.79,203.97,288.84,0.00,0.00,171.98,30.14,97.04,0.00,402.42,398.38,534.95,474.54
22,177.20,0.00,124.75,31.08,277.02,398.70,0.00,0.00,33.94,87.09,110.12,0.00,409.13,405.81,502.36,330.62
23,282.98,0.00,138.94,22.21,104.55,324.62,0.00,0.00,117.86,315.70,12.99,0.00,502.18,296.83,378.86,526.17
24,430.86,0.00,82.74,114.58,357.68,368.87,0.00,0.00,65.63,393.47,25.62,0.00,500.10,301.39,558.87,424.66
25,9.59,0.00,0.00,0.00,0.00,7.14,0.00,0.00,9.18,10.00,0.48,0.00,9.53,5.00,10.00,10.00
