interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2.00,0.00,0.00,2.00,3.00,3.00,0.00,0.00,5.00,2.00,0.00,0.00,3.00,3.00,3.00,2.00
1,3.00,0.00,2.00,1.00,3.00,2.00,0.00,0.00,2.00,2.00,0.00,0.00,2.00,3.00,3.00,2.00
2,3.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,5.00,3.00,0.00,0.00,2.00,1.00,4.00,8.00
3,2.00,0.00,1.00,3.00,2.00,1.00,0.00,0.00,1.00,2.00,0.00,0.00,3.00,1.00,3.00,0.00
4,2.00,0.00,6.00,3.00,1.00,2.00,0.00,0.00,3.00,1.00,0.00,0.00,5.00,3.00,2.00,5.00
5,2.00,0.00,0.00,4.00,3.00,3.00,0.00,0.00,2.00,2.00,0.00,0.00,3.00,2.00,4.00,1.00
6,3.00,0.00,6.00,3.00,2.00,2.00,0.00,0.00,5.00,1.00,1.00,0.00,5.00,2.00,2.00,3.00
7,4.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,2.00,2.00,0.00,0.00,2.00,2.00,3.00,2.00
8,2.00,0.00,2.00,1.00,1.00,4.00,0.00,0.00,5.00,3.00,0.00,0.00,1.00,4.00,4.00,6.00
9,1.00,0.00,0.00,6.00,3.00,1.00,0.00,0.00,5.00,1.00,2.00,0.00,5.00,5.00,5.00,2.00
10,2.00,0.00,0.00,1.00,1.00,2.00,0.00,0.00,8.00,2.00,1.00,0.00,3.00,7.00,5.00,2.00
11,1.00,0.00,3.00,1.00,1.00,3.00,0.00,0.00,6.00,2.00,0.00,0.00,3.00,3.00,5.00,2.00
12,2.00,0.00,0.00,2.00,2.00,2.00,0.00,0.00,2.00,3.00,0.00,0.00,2.00,1.00,8.00,2.00
13,3.00,0.00,0.00,2.00,2.00,2.00,0.00,0.00,4.00,2.00,0.00,0.00,2.00,5.00,3.00,4.00
14,1.00,0.00,5.00,0.00,2.00,4.00,0.00,0.00,6.00,1.00,0.00,0.00,4.00,4.00,4.00,1.00
15,2.00,0.00,6.00,1.00,4.00,4.00,0.00,0.00,2.00,1.00,0.00,0.00,3.00,3.00,3.00,2.00
16,2.00,0.00,7.00,0.00,2.00,2.00,0.00,0.00,3.00,2.00,4.00,0.00,2.00,3.00,4.00,3.00
17,1.00,0.00,8.00,0.00,2.00,2.00,0.00,0.00,2.00,3.00,0.00,0.00,3.00,2.00,4.00,5.00
18,2.00,0.00,4.00,5.00,2.00,2.00,0.00,0.00,4.00,2.00,0.00,0.00,2.00,3.00,2.00,1.00
19,2.00,0.00,1.00,4.00,2.00,3.00,0.00,0.00,3.00,2.00,0.00,0.00,7.00,4.00,1.00,2.00
20,3.00,0.00,0.00,5.00,2.00,2.00,0.00,0.00,1.00,2.00,0.00,0.00,3.00,4.00,2.00,2.00
21,3.00,0.00,1.00,1.00,4.00,1.00,0.00,0.00,5.00,1.00,4.00,0.00,4.00,3.00,3.00,2.00
22,2.00,0.00,5.00,1.00,2.00,3.00,0.00,0.00,1.00,4.00,5.00,0.00,3.00,3.00,5.00,6.00
23,4.00,0.00,5.00,0.00,1.00,3.00,0.00,0.00,3.00,2.00,0.00,0.00,4.00,2.00,5.00,2.00
24,2.00,0.00,3.00,3.00,3.00,3.00,0.00,0.00,4.00,2.00,0.00,0.00,4.00,3.00,3.00,2.00
25,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00
